industry,level,level,line_code,value
total,0,1,D0302.02,1878
total,0,1,D0302.02,1698
"Agriculture, forestry, & fishing",1,2,D0302.02,3141
Agriculture,2,3,D0302.02,2136
Commercial fishing,2,3,D0302.02,42
Forestry & logging,2,3,D0302.02,189
"Agriculture, forestry, & fishing support services",2,3,D0302.02,774
Mining,1,2,D0302.02,93
Manufacturing,1,2,D0302.02,3798
"Food, beverage, & tobacco",2,3,D0302.02,849
"Textile, clothing, footwear, & leather",2,3,D0302.02,207
Wood & paper product,2,3,D0302.02,372
"Printing, publishing, & recorded media",2,3,D0302.02,168
"Petroleum, coal, chemical, & associated product",2,3,D0302.02,396
Non-metallic mineral product,2,3,D0302.02,135
Metal product,2,3,D0302.02,675
Transport and industrial machinery & equipment,2,3,D0302.02,564
Other machinery & equipment,2,3,D0302.02,177
Other manufacturing,2,3,D0302.02,258
"Electricity, gas, water, & waste services",1,2,D0302.02,126
Construction,1,2,D0302.02,4209
Wholesale trade,1,2,D0302.02,2505
Machinery & equipment wholesaling,2,3,D0302.02,894
Other wholesale trade,2,3,D0302.02,1608
Retail trade,1,2,D0302.02,3261
Accommodation & food services,1,2,D0302.02,4305
"Transport, postal, & warehousing",1,2,D0302.02,1203
Information media & telecommunications,1,2,D0302.02,318
Publishing,2,3,D0302.02,99
Motion picture,2,3,D0302.02,111
Telecommunications,2,3,D0302.02,105
Financial & insurance services,1,2,D0302.02,510
Finance,2,3,D0302.02,168
Insurance,2,3,D0302.02,33
Auxiliary,2,3,D0302.02,312
"Rental, hiring, & real estate services",1,2,D0302.02,687
"Professional, scientific, & technical services",1,2,D0302.02,3561
Computer systems design,2,3,D0302.02,711
Other professional scientific,2,3,D0302.02,2850
Administrative & support services,1,2,D0302.02,1392
Education & training,1,2,D0302.02,780
Health care & social assistance,1,2,D0302.02,2079
Arts & recreation services,1,2,D0302.02,378
Other services,1,2,D0302.02,912
total,0,1,D0302.02,33261
total,0,1,D0401.01,2094
total,0,1,D0401.01,648
total,0,1,D0401.01,150
total,0,1,D0401.01,102
"Agriculture, forestry, & fishing",1,2,D0401.01,396
Agriculture,2,3,D0401.01,276
Commercial fishing,2,3,D0401.01,0
Forestry & logging,2,3,D0401.01,30
"Agriculture, forestry, & fishing support services",2,3,D0401.01,93
Mining,1,2,D0401.01,15
Manufacturing,1,2,D0401.01,384
"Food, beverage, & tobacco",2,3,D0401.01,69
"Textile, clothing, footwear, & leather",2,3,D0401.01,30
Wood & paper product,2,3,D0401.01,54
"Printing, publishing, & recorded media",2,3,D0401.01,27
"Petroleum, coal, chemical, & associated product",2,3,D0401.01,12
Non-metallic mineral product,2,3,D0401.01,12
Metal product,2,3,D0401.01,93
Transport and industrial machinery & equipment,2,3,D0401.01,48
Other machinery & equipment,2,3,D0401.01,12
Other manufacturing,2,3,D0401.01,21
"Electricity, gas, water, & waste services",1,2,D0401.01,12
Construction,1,2,D0401.01,258
Wholesale trade,1,2,D0401.01,183
Machinery & equipment wholesaling,2,3,D0401.01,15
Other wholesale trade,2,3,D0401.01,168
Retail trade,1,2,D0401.01,435
Accommodation & food services,1,2,D0401.01,201
"Transport, postal, & warehousing",1,2,D0401.01,117
